algorithm_name,run_n,explored_states,solution_found
BFS,1,8426,True
DFS,1,2541,True
DLS,1,2541,True
UCS,1,8465,True
A*,1,3264,True
BFS,2,7350,True
DFS,2,5179,True
DLS,2,5000,False
UCS,2,2712,True
A*,2,567,True
BFS,3,7900,True
DFS,3,2023,True
DLS,3,2023,True
UCS,3,8003,True
A*,3,7291,True
BFS,4,3441,True
DFS,4,844,True
DLS,4,844,True
UCS,4,905,True
A*,4,2285,True
BFS,5,5650,True
DFS,5,1747,True
DLS,5,1747,True
UCS,5,7759,True
A*,5,245,True
BFS,6,1255,True
DFS,6,3217,True
DLS,6,3217,True
UCS,6,3951,True
A*,6,564,True
BFS,7,473,True
DFS,7,7143,True
DLS,7,5000,False
UCS,7,693,True
A*,7,103,True
BFS,8,6634,True
DFS,8,2827,True
DLS,8,2827,True
UCS,8,6373,True
A*,8,449,True
BFS,9,2428,True
DFS,9,207,True
DLS,9,207,True
UCS,9,9053,True
A*,9,365,True
BFS,10,8283,True
DFS,10,3778,True
DLS,10,3778,True
UCS,10,7469,True
A*,10,384,True
BFS,11,7180,True
DFS,11,3459,True
DLS,11,3459,True
UCS,11,3180,True
A*,11,264,True
BFS,12,3446,True
DFS,12,1557,True
DLS,12,1557,True
UCS,12,3923,True
A*,12,519,True
BFS,13,8108,True
DFS,13,4279,True
DLS,13,4279,True
UCS,13,4864,True
A*,13,1317,True
BFS,14,6710,True
DFS,14,3490,True
DLS,14,3490,True
UCS,14,7319,True
A*,14,2133,True
BFS,15,751,True
DFS,15,5033,True
DLS,15,5000,False
UCS,15,7224,True
A*,15,827,True
BFS,16,1704,True
DFS,16,8360,True
DLS,16,5000,False
UCS,16,7923,True
A*,16,197,True
BFS,17,5320,True
DFS,17,6304,True
DLS,17,5000,False
UCS,17,7008,True
A*,17,178,True
BFS,18,8379,True
DFS,18,3278,True
DLS,18,3278,True
UCS,18,4173,True
A*,18,3756,True
BFS,19,928,True
DFS,19,218,True
DLS,19,218,True
UCS,19,1957,True
A*,19,1470,True
BFS,20,6283,True
DFS,20,828,True
DLS,20,828,True
UCS,20,9060,True
A*,20,22,True
BFS,21,5370,True
DFS,21,3017,True
DLS,21,3017,True
UCS,21,6883,True
A*,21,7165,True
BFS,22,3677,True
DFS,22,1386,True
DLS,22,1386,True
UCS,22,8262,True
A*,22,2865,True
BFS,23,4353,True
DFS,23,155,True
DLS,23,155,True
UCS,23,4183,True
A*,23,330,True
BFS,24,5434,True
DFS,24,3700,True
DLS,24,3700,True
UCS,24,1763,True
A*,24,690,True
BFS,25,107,True
DFS,25,8108,True
DLS,25,5000,False
UCS,25,5035,True
A*,25,1714,True
BFS,26,3852,True
DFS,26,1750,True
DLS,26,1750,True
UCS,26,1660,True
A*,26,1411,True
BFS,27,4595,True
DFS,27,6354,True
DLS,27,5000,False
UCS,27,8372,True
A*,27,153,True
BFS,28,9142,True
DFS,28,6574,True
DLS,28,5000,False
UCS,28,1923,True
A*,28,401,True
BFS,29,6563,True
DFS,29,1078,True
DLS,29,1078,True
UCS,29,6788,True
A*,29,5588,True
BFS,30,1646,True
DFS,30,980,True
DLS,30,980,True
UCS,30,222,True
A*,30,379,True
