algorithm_name,n_queens,run_n,explored_states,time_taken,solution_found
hillClimbing,4,1,3,0.000997781753540039,True
simulatedAnnealing,4,1,399,0.01700282096862793,False
genetic,4,1,2,0.0009980201721191406,True
hillClimbing,4,2,3,0.0020020008087158203,True
simulatedAnnealing,4,2,399,0.01800084114074707,False
genetic,4,2,42,0.01700282096862793,True
hillClimbing,4,3,3,0.001996755599975586,False
simulatedAnnealing,4,3,399,0.018004894256591797,False
genetic,4,3,144,0.05000019073486328,True
hillClimbing,4,4,3,0.0019936561584472656,False
simulatedAnnealing,4,4,399,0.018001794815063477,False
genetic,4,4,335,0.11899471282958984,True
hillClimbing,4,5,3,0.0009999275207519531,False
simulatedAnnealing,4,5,399,0.01700878143310547,True
genetic,4,5,21,0.008002281188964844,True
hillClimbing,4,6,2,0.0009982585906982422,True
simulatedAnnealing,4,6,399,0.018008947372436523,False
genetic,4,6,208,0.07600665092468262,True
hillClimbing,4,7,2,0.0010004043579101562,False
simulatedAnnealing,4,7,399,0.0180056095123291,False
genetic,4,7,31,0.01199960708618164,True
hillClimbing,4,8,3,0.002007007598876953,False
simulatedAnnealing,4,8,399,0.01799774169921875,True
genetic,4,8,4,0.0009992122650146484,True
hillClimbing,4,9,3,0.0009992122650146484,True
simulatedAnnealing,4,9,399,0.01799917221069336,False
genetic,4,9,4,0.0009925365447998047,True
hillClimbing,4,10,2,0.0,False
simulatedAnnealing,4,10,399,0.017998456954956055,False
genetic,4,10,2,0.002002716064453125,True
hillClimbing,4,11,2,0.0010004043579101562,False
simulatedAnnealing,4,11,399,0.019001007080078125,True
genetic,4,11,5,0.001993894577026367,True
hillClimbing,4,12,2,0.000997781753540039,False
simulatedAnnealing,4,12,399,0.016998767852783203,True
genetic,4,12,244,0.16099834442138672,True
hillClimbing,4,13,3,0.000997304916381836,False
simulatedAnnealing,4,13,399,0.023999691009521484,False
genetic,4,13,9,0.0029947757720947266,True
hillClimbing,4,14,2,0.0009982585906982422,False
simulatedAnnealing,4,14,399,0.01699686050415039,False
genetic,4,14,52,0.02400064468383789,True
hillClimbing,4,15,3,0.001995086669921875,True
simulatedAnnealing,4,15,399,0.018001794815063477,False
genetic,4,15,42,0.015996694564819336,True
hillClimbing,4,16,2,0.0009937286376953125,False
simulatedAnnealing,4,16,399,0.018001079559326172,True
genetic,4,16,27,0.008993387222290039,True
hillClimbing,4,17,3,0.0019965171813964844,True
simulatedAnnealing,4,17,399,0.01800060272216797,True
genetic,4,17,47,0.16299939155578613,True
hillClimbing,4,18,3,0.000997781753540039,True
simulatedAnnealing,4,18,399,0.01799607276916504,False
genetic,4,18,333,0.1640026569366455,True
hillClimbing,4,19,3,0.001995086669921875,False
simulatedAnnealing,4,19,399,0.01699995994567871,True
genetic,4,19,135,0.10000371932983398,True
hillClimbing,4,20,4,0.002003908157348633,True
simulatedAnnealing,4,20,399,0.01700139045715332,True
genetic,4,20,66,0.04900336265563965,True
